*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Tool Lockout v1.3
*Date=19:27:48
*CreatedBy=Fritzing 0.8.3b.07.27.048f
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;27.0505;-37.0959;0;Bottom;TXT5
102;;;41.148;-28.951;0;Bottom;Copper Fill5
103;;THT;53.8395;-29.2679;90;Bottom;RFID
104;;;15.0749;-31.4656;0;Bottom;Copper Fill78
105;;THT;30.3445;-34.3479;0;Bottom;ICSP
106;;;49.8587;-31.2545;0;Bottom;TXT1
107;;;15.0749;-33.5484;0;Bottom;Copper Fill13
108;;;51.0032;-38.8443;0;Bottom;Copper Fill40
109;;;41.9354;-9.6343;0;Bottom;Copper Fill111
110;;;20.8195;-19.1079;0;Bottom;Via15
111;;;35.6108;-21.6739;0;Bottom;Copper Fill84
112;;;8.15128;-10.9164;0;Bottom;Vcc Ctr Pos
113;;;22.9108;-38.1839;0;Bottom;Copper Fill19
114;;;5.0546;-38.1839;0;Bottom;Copper Fill46
115;;300 mil [THT];18.2525;-5.1845;-90;Bottom;D2
116;;;43.7642;-3.2843;0;Bottom;Copper Fill117
117;;;2.9845;-5.6338;0;Bottom;Copper Fill24
118;;;14.8336;-4.5543;0;Bottom;Copper Fill90
119;;;30.9885;-6.15094;0;Bottom;TXT1
120;;;41.9354;-9.6343;0;Bottom;Copper Fill52
121;;;30.9245;-7.2848;0;Bottom;Copper Fill30
122;;;47.4345;-38.9586;0;Bottom;Copper Fill96
123;;;39.1922;-35.0978;0;Bottom;Copper Fill2
124;;;57.5792;-31.1491;0;Bottom;TXT1
125;;;5.9436;-12.0727;0;Bottom;Copper Fill58
126;;;42.6466;-29.2939;0;Bottom;Copper Fill36
127;;;23.9945;-38.1579;0;Bottom;Via21
128;;;26.924;-14.0539;0;Bottom;Copper Fill102
129;;;56.4769;-39.5428;0;Bottom;Copper Fill108
130;;;12.769;-36.0276;0;Bottom;TXT2
131;;;27.0764;-6.726;0;Bottom;Copper Fill74
